seed,total-variance,feature1-xor_xor_xor
2,8.31806755,0.37841742
2,8.47588539,0.37982069
2,8.62322330,0.38110403
2,8.76173973,0.38228676
2,8.89291573,0.38338241
2,9.01654148,0.38440144
2,9.13406467,0.38534865
2,9.24600220,0.38623670
2,9.35305786,0.38706842
2,9.45527077,0.38785564
2,9.55341530,0.38859410
2,9.64764214,0.38929469
2,9.73851967,0.38995577
2,9.82571983,0.39058763
2,9.90989685,0.39119012
2,9.99142075,0.39176409
2,10.07009411,0.39231395
2,10.14591789,0.39284209
2,10.21942902,0.39334735
2,10.29060745,0.39383168
2,10.35981178,0.39429630
2,10.42700577,0.39474444
2,10.49258709,0.39517651
2,10.55640411,0.39559289
2,10.61828899,0.39599621
2,10.67878532,0.39638567
2,10.73780441,0.39676332
2,10.79537010,0.39712691
2,10.85160542,0.39747987
2,10.90675354,0.39782196
2,10.96034336,0.39815520
2,11.01288223,0.39847826
2,11.06423569,0.39879241
2,11.11449909,0.39909743
2,11.16372299,0.39939275
2,11.21182919,0.39968212
2,11.25897217,0.39996415
2,11.30537224,0.40023839
2,11.35077953,0.40050750
2,11.39539528,0.40076877
2,11.43914795,0.40102426
2,11.48206520,0.40127315
2,11.52430248,0.40151487
2,11.56582451,0.40175208
2,11.60655212,0.40198419
2,11.64666748,0.40221004
2,11.68609047,0.40243197
2,11.72491455,0.40265010
2,11.76314354,0.40286244
2,11.80070782,0.40307009
2,11.83766937,0.40327392
2,11.87413025,0.40347287
2,11.91010189,0.40366835
2,11.94546986,0.40386042
2,11.98034477,0.40404825
2,12.01468086,0.40423243
2,12.04845905,0.40441285
2,12.08173752,0.40458960
2,12.11458588,0.40476326
2,12.14705563,0.40493387
2,12.17900276,0.40510208
2,12.21064281,0.40526713
2,12.24178410,0.40542933
2,12.27246094,0.40558834
2,12.30273533,0.40574489
2,12.33261681,0.40589994
2,12.36216545,0.40605225
2,12.39125824,0.40620218
2,12.42007160,0.40634923
2,12.44849586,0.40649440
2,12.47665405,0.40663700
2,12.50445366,0.40677822
2,12.53191948,0.40691660
2,12.55902767,0.40705373
2,12.58588505,0.40718805
2,12.61217117,0.40731930
3,0.11288357,-0.00267062
3,0.10606787,-0.00271448
3,0.10307793,-0.00286162
3,0.10276190,-0.00297826
3,0.10332153,-0.00305510
3,0.10424744,-0.00311510
3,0.10555197,-0.00317798
3,0.10719487,-0.00322964
3,0.10897719,-0.00327444
3,0.11101299,-0.00329529
3,0.11315123,-0.00333655
3,0.11534615,-0.00338405
3,0.11756173,-0.00340663
3,0.11967465,-0.00335805
3,0.12228877,-0.00332501
3,0.12459338,-0.00330192
3,0.12711549,-0.00328928
3,0.12962723,-0.00326676
3,0.13196650,-0.00327225
3,0.13456820,-0.00328871
3,0.13725872,-0.00328858
3,0.14004017,-0.00332360
3,0.14300147,-0.00331998
3,0.14580300,-0.00328448
3,0.14866500,-0.00324931
3,0.15171552,-0.00317317
3,0.15494573,-0.00308160
