seed,epoch,test-loss,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor
8,9500,0.00853590,1.00000000,1.00000000,1.00000000,0.00025607,0.01681574
8,10000,0.00342486,1.00000000,1.00000000,1.00000000,0.00011066,0.00673906
8,10500,0.00191133,1.00000000,1.00000000,1.00000000,0.00006436,0.00375831
8,11000,0.00125966,1.00000000,1.00000000,1.00000000,0.00004415,0.00247517
8,11500,0.00091452,1.00000000,1.00000000,1.00000000,0.00003287,0.00179617
9,0,0.69217068,0.51025391,0.52050781,0.50000000,0.69030756,0.69403374
9,500,0.34749088,0.75341797,1.00000000,0.50683594,0.00169301,0.69328868
9,1000,0.34694827,0.74853516,1.00000000,0.49707031,0.00054878,0.69334769
9,1500,0.34680402,0.74804688,1.00000000,0.49609375,0.00030534,0.69330275
9,2000,0.34672859,0.75097656,1.00000000,0.50195312,0.00020558,0.69325161
9,2500,0.34667540,0.74853516,1.00000000,0.49707031,0.00015261,0.69319820
9,3000,0.34663400,0.74511719,1.00000000,0.49023438,0.00011997,0.69314808
9,3500,0.34658611,0.74951172,1.00000000,0.49902344,0.00009790,0.69307435
9,4000,0.34656528,0.74804688,1.00000000,0.49609375,0.00008184,0.69304866
9,4500,0.34653720,0.75146484,1.00000000,0.50292969,0.00006995,0.69300443
9,5000,0.34652081,0.75097656,1.00000000,0.50195312,0.00006088,0.69298077
9,5500,0.34651890,0.75048828,1.00000000,0.50097656,0.00005359,0.69298422
9,6000,0.34654039,0.74853516,1.00000000,0.49707031,0.00004763,0.69303322
9,6500,0.34657007,0.75146484,1.00000000,0.50292969,0.00004293,0.69309729
9,7000,0.34658974,0.75390625,1.00000000,0.50781250,0.00003901,0.69314051
9,7500,0.34660813,0.75439453,1.00000000,0.50878906,0.00003562,0.69318068
9,8000,0.34665343,0.75439453,1.00000000,0.50878906,0.00003267,0.69327420
9,8500,0.34670544,0.75732422,1.00000000,0.51464844,0.00002999,0.69338095
9,9000,0.34676415,0.75292969,1.00000000,0.50585938,0.00002766,0.69350064
9,9500,0.34682548,0.75292969,1.00000000,0.50585938,0.00002555,0.69362539
9,10000,0.34690547,0.75878906,1.00000000,0.51757812,0.00002371,0.69378722
9,10500,0.34699923,0.75830078,1.00000000,0.51660156,0.00002207,0.69397640
9,11000,0.34713507,0.75439453,1.00000000,0.50878906,0.00002060,0.69424951
9,11500,0.34725422,0.75195312,1.00000000,0.50390625,0.00001928,0.69448912
9,12000,0.34740269,0.74902344,1.00000000,0.49804688,0.00001804,0.69478738
9,12500,0.34752852,0.74609375,1.00000000,0.49218750,0.00001698,0.69503999
9,13000,0.34736067,0.74853516,1.00000000,0.49707031,0.00001605,0.69470525
9,13500,0.34440908,0.76416016,1.00000000,0.52832031,0.00001532,0.68880290
9,14000,0.28506908,0.88671875,1.00000000,0.77343750,0.00002699,0.57011116
9,14500,0.04809935,0.99316406,1.00000000,0.98632812,0.00022448,0.09597422
9,15000,0.00268977,1.00000000,1.00000000,1.00000000,0.00016802,0.00521152
9,15500,0.00104104,1.00000000,1.00000000,1.00000000,0.00010737,0.00197471
9,16000,0.00060672,1.00000000,1.00000000,1.00000000,0.00007683,0.00113661
