seed,epoch,test-loss,total-acc,test-acc_feature1,test-loss_feature1
3,3000,0.69749641,0.51074219,0.51074219,0.69749641
3,3100,0.69788045,0.50878906,0.50878906,0.69788045
3,3200,0.69831932,0.51367188,0.51367188,0.69831932
3,3300,0.69886303,0.51464844,0.51464844,0.69886303
3,3400,0.69955719,0.51562500,0.51562500,0.69955719
3,3500,0.70045912,0.50878906,0.50878906,0.70045912
3,3600,0.70163697,0.50976562,0.50976562,0.70163697
3,3700,0.70310354,0.51367188,0.51367188,0.70310354
3,3800,0.70482874,0.51171875,0.51171875,0.70482874
3,3900,0.70677680,0.51269531,0.51269531,0.70677680
3,4000,0.70889795,0.51562500,0.51562500,0.70889795
3,4100,0.71053553,0.51464844,0.51464844,0.71053553
3,4200,0.70582819,0.53710938,0.53710938,0.70582819
3,4300,0.67968547,0.59472656,0.59472656,0.67968547
3,4400,0.55842435,0.75292969,0.75292969,0.55842435
3,4500,0.14030626,0.97753906,0.97753906,0.14030626
3,4600,0.02235899,1.00000000,1.00000000,0.02235899
3,4700,0.00916166,1.00000000,1.00000000,0.00916166
3,4800,0.00530322,1.00000000,1.00000000,0.00530322
3,4900,0.00359339,1.00000000,1.00000000,0.00359339
3,5000,0.00266745,1.00000000,1.00000000,0.00266745
3,5100,0.00209457,1.00000000,1.00000000,0.00209457
3,5200,0.00170939,1.00000000,1.00000000,0.00170939
3,5300,0.00143655,1.00000000,1.00000000,0.00143655
3,5400,0.00123398,1.00000000,1.00000000,0.00123398
3,5500,0.00107751,1.00000000,1.00000000,0.00107751
3,5600,0.00095299,1.00000000,1.00000000,0.00095299
4,0,0.69318074,0.50585938,0.50585938,0.69318074
4,100,0.69312525,0.52148438,0.52148438,0.69312525
4,200,0.69307071,0.52832031,0.52832031,0.69307071
4,300,0.69306064,0.53222656,0.53222656,0.69306064
4,400,0.69306731,0.53320312,0.53320312,0.69306731
4,500,0.69307733,0.53515625,0.53515625,0.69307733
4,600,0.69308209,0.53222656,0.53222656,0.69308209
4,700,0.69308013,0.52929688,0.52929688,0.69308013
4,800,0.69308436,0.51464844,0.51464844,0.69308436
4,900,0.69310343,0.51855469,0.51855469,0.69310343
4,1000,0.69312632,0.51074219,0.51074219,0.69312632
4,1100,0.69315976,0.51171875,0.51171875,0.69315976
4,1200,0.69318843,0.50781250,0.50781250,0.69318843
4,1300,0.69321388,0.50585938,0.50585938,0.69321388
4,1400,0.69324052,0.50488281,0.50488281,0.69324052
4,1500,0.69327337,0.50683594,0.50683594,0.69327337
4,1600,0.69331515,0.50292969,0.50292969,0.69331515
4,1700,0.69336021,0.49414062,0.49414062,0.69336021
4,1800,0.69342059,0.49511719,0.49511719,0.69342059
4,1900,0.69348824,0.50000000,0.50000000,0.69348824
4,2000,0.69356394,0.50292969,0.50292969,0.69356394
4,2100,0.69365227,0.49902344,0.49902344,0.69365227
4,2200,0.69372439,0.49804688,0.49804688,0.69372439
4,2300,0.69381362,0.50097656,0.50097656,0.69381362
4,2400,0.69393635,0.49707031,0.49707031,0.69393635
4,2500,0.69405031,0.49511719,0.49511719,0.69405031
4,2600,0.69418645,0.49316406,0.49316406,0.69418645
4,2700,0.69431937,0.49316406,0.49316406,0.69431937
4,2800,0.69447643,0.49121094,0.49121094,0.69447643
4,2900,0.69463974,0.49121094,0.49121094,0.69463974
4,3000,0.69479704,0.49414062,0.49414062,0.69479704
4,3100,0.69496030,0.48925781,0.48925781,0.69496030
4,3200,0.69511211,0.48535156,0.48535156,0.69511211
4,3300,0.69528824,0.48632812,0.48632812,0.69528824
4,3400,0.69548833,0.48828125,0.48828125,0.69548833
4,3500,0.69568241,0.48925781,0.48925781,0.69568241
4,3600,0.69589263,0.48632812,0.48632812,0.69589263
4,3700,0.69612038,0.48632812,0.48632812,0.69612038
4,3800,0.69637299,0.48828125,0.48828125,0.69637299
4,3900,0.69666052,0.48925781,0.48925781,0.69666052
4,4000,0.69694144,0.48730469,0.48730469,0.69694144
4,4100,0.69728488,0.48925781,0.48925781,0.69728488
4,4200,0.69769865,0.49023438,0.49023438,0.69769865
4,4300,0.69814116,0.49316406,0.49316406,0.69814116
4,4400,0.69864267,0.48925781,0.48925781,0.69864267
4,4500,0.69929773,0.49707031,0.49707031,0.69929773
4,4600,0.70004910,0.49804688,0.49804688,0.70004910
4,4700,0.70087594,0.50292969,0.50292969,0.70087594
4,4800,0.70173466,0.49902344,0.49902344,0.70173466
4,4900,0.70291948,0.50097656,0.50097656,0.70291948
4,5000,0.70441753,0.50195312,0.50195312,0.70441753
4,5100,0.70633239,0.50683594,0.50683594,0.70633239
4,5200,0.70844555,0.50195312,0.50195312,0.70844555
4,5300,0.71111780,0.50097656,0.50097656,0.71111780
4,5400,0.71413249,0.50488281,0.50488281,0.71413249
4,5500,0.71771312,0.50585938,0.50585938,0.71771312
4,5600,0.72174478,0.50683594,0.50683594,0.72174478
4,5700,0.72613078,0.50390625,0.50390625,0.72613078
4,5800,0.73131573,0.50097656,0.50097656,0.73131573
4,5900,0.73706985,0.50878906,0.50878906,0.73706985
4,6000,0.74292034,0.50292969,0.50292969,0.74292034
4,6100,0.75000638,0.50781250,0.50781250,0.75000638
4,6200,0.75829566,0.49902344,0.49902344,0.75829566
4,6300,0.76837015,0.50195312,0.50195312,0.76837015
4,6400,0.77867943,0.51074219,0.51074219,0.77867943
4,6500,0.79107702,0.50195312,0.50195312,0.79107702
4,6600,0.80595803,0.50390625,0.50390625,0.80595803
4,6700,0.82301068,0.49511719,0.49511719,0.82301068
4,6800,0.84168088,0.50488281,0.50488281,0.84168088
4,6900,0.86382210,0.50488281,0.50488281,0.86382210
4,7000,0.88828504,0.50292969,0.50292969,0.88828504
4,7100,0.91663224,0.51464844,0.51464844,0.91663224
4,7200,0.95251453,0.51855469,0.51855469,0.95251453
4,7300,0.99050045,0.51562500,0.51562500,0.99050045
4,7400,1.01450419,0.51562500,0.51562500,1.01450419
4,7500,0.88729835,0.57714844,0.57714844,0.88729835
4,7600,0.55447257,0.76074219,0.76074219,0.55447257
4,7700,0.27639982,0.88085938,0.88085938,0.27639982
4,7800,0.15551406,0.93750000,0.93750000,0.15551406
4,7900,0.10360551,0.95410156,0.95410156,0.10360551
4,8000,0.07775655,0.96875000,0.96875000,0.07775655
4,8100,0.06221639,0.97851562,0.97851562,0.06221639
4,8200,0.05213646,0.97949219,0.97949219,0.05213646
4,8300,0.04528269,0.98339844,0.98339844,0.04528269
4,8400,0.04006172,0.98632812,0.98632812,0.04006172
4,8500,0.03596497,0.98730469,0.98730469,0.03596497
4,8600,0.03270848,0.98925781,0.98925781,0.03270848
4,8700,0.03014655,0.99023438,0.99023438,0.03014655
4,8800,0.02791395,0.99121094,0.99121094,0.02791395
4,8900,0.02600953,0.99121094,0.99121094,0.02600953
4,9000,0.02445860,0.99121094,0.99121094,0.02445860
4,9100,0.02313793,0.99218750,0.99218750,0.02313793
4,9200,0.02192308,0.99218750,0.99218750,0.02192308
4,9300,0.02078934,0.99316406,0.99316406,0.02078934
4,9400,0.01978624,0.99316406,0.99316406,0.01978624
4,9500,0.01894447,0.99414062,0.99414062,0.01894447
4,9600,0.01818419,0.99414062,0.99414062,0.01818419
4,9700,0.01745654,0.99414062,0.99414062,0.01745654
